Source,Target,Count,Stage
N03,J18,35.0,d3-d4
I10,E16,6225.0,d1-d2
E16,A41,610.0,d2-d3
I10,E16,6225.0,d1-d2
E16,I46,141.0,d2-d3
I10,E16,6225.0,d1-d2
E16,F01,226.0,d2-d3
F01,J69,27.0,d3-d4
I10,E16,6225.0,d1-d2
E16,J69,218.0,d2-d3
I10,A08,3855.0,d1-d2
I10,I22,4888.0,d1-d2
I10,N03,3713.0,d1-d2
N03,A41,299.0,d2-d3
I10,N03,3713.0,d1-d2
N03,J18,551.0,d2-d3
J18,J69,22.0,d3-d4
I10,N08,2414.0,d1-d2
N08,A41,329.0,d2-d3
I10,N08,2414.0,d1-d2
N08,B95,301.0,d2-d3
B95,I46,26.0,d3-d4
I10,N25,685.0,d1-d2
K29,H26,12850.0,d1-d2
H26,H27,37.0,d2-d3
K29,H26,12850.0,d1-d2
H26,H44,43.0,d2-d3
K29,K82,2146.0,d1-d2
K29,C25,1109.0,d1-d2
C25,C78,443.0,d2-d3
C78,A41,26.0,d3-d4
K29,C25,1109.0,d1-d2
C25,K31,75.0,d2-d3
K31,C78,23.0,d3-d4
K29,C25,1109.0,d1-d2
C25,K83,159.0,d2-d3
K29,C25,1109.0,d1-d2
C25,K86,109.0,d2-d3
K86,C78,26.0,d3-d4
K29,C25,1109.0,d1-d2
C25,A41,73.0,d2-d3
K29,C25,1109.0,d1-d2
C25,I26,45.0,d2-d3
K29,C25,1109.0,d1-d2
C25,K56,30.0,d2-d3
K29,C22,991.0,d1-d2
C22,A41,77.0,d2-d3
K29,C22,991.0,d1-d2
C22,K72,52.0,d2-d3
K29,K66,1983.0,d1-d2
K29,G62,1207.0,d1-d2
G62,A41,103.0,d2-d3
K29,G62,1207.0,d1-d2
G62,J69,49.0,d2-d3
K29,K75,883.0,d1-d2
K29,K65,1565.0,d1-d2
K65,I46,38.0,d2-d3
K29,K65,1565.0,d1-d2
K65,K43,48.0,d2-d3
K29,K72,1646.0,d1-d2
K29,K81,4340.0,d1-d2
K81,K43,83.0,d2-d3
K29,K81,4340.0,d1-d2
K81,K91,42.0,d2-d3
K29,K86,2992.0,d1-d2
K86,A41,214.0,d2-d3
K29,K83,3898.0,d1-d2
K83,K66,98.0,d2-d3
K29,C18,3694.0,d1-d2
C18,C78,947.0,d2-d3
C78,D70,37.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C78,947.0,d2-d3
C78,A41,53.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C19,347.0,d2-d3
C19,C79,37.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C19,347.0,d2-d3
C19,K52,21.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C19,347.0,d2-d3
C19,C80,32.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C19,347.0,d2-d3
C19,K56,32.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,C78,80.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,K56,29.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,C77,41.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,K91,24.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,K66,20.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C26,112.0,d2-d3
K29,C18,3694.0,d1-d2
C18,K56,367.0,d2-d3
K29,C18,3694.0,d1-d2
C18,A04,70.0,d2-d3
K29,C18,3694.0,d1-d2
C18,D63,284.0,d2-d3
K29,C18,3694.0,d1-d2
C18,E86,117.0,d2-d3
K29,C18,3694.0,d1-d2
C18,K63,399.0,d2-d3
K63,C78,65.0,d3-d4
K29,C18,3694.0,d1-d2
C18,K43,100.0,d2-d3
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,K56,38.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,K52,30.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,D64,35.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,K59,30.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,A41,28.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,J18,30.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,J22,28.0,d3-d4
K29,C18,3694.0,d1-d2
C18,K66,146.0,d2-d3
K29,C18,3694.0,d1-d2
C18,I26,104.0,d2-d3
K29,C18,3694.0,d1-d2
C18,K59,224.0,d2-d3
K59,J18,20.0,d3-d4
K29,C18,3694.0,d1-d2
C18,K76,90.0,d2-d3
K76,C78,27.0,d3-d4
K29,C18,3694.0,d1-d2
C18,A41,211.0,d2-d3
K29,C18,3694.0,d1-d2
C18,I97,26.0,d2-d3
K29,C18,3694.0,d1-d2
C18,A49,47.0,d2-d3
K29,K74,3000.0,d1-d2
K74,J69,68.0,d2-d3
K29,K74,3000.0,d1-d2
K74,G93,164.0,d2-d3
K29,K74,3000.0,d1-d2
K74,K72,382.0,d2-d3
K29,K74,3000.0,d1-d2
K74,N19,151.0,d2-d3
N19,N18,26.0,d3-d4
K29,K74,3000.0,d1-d2
K74,N19,151.0,d2-d3
N19,N17,26.0,d3-d4
K29,K74,3000.0,d1-d2
K74,A41,273.0,d2-d3
K29,K55,3085.0,d1-d2
K55,K91,61.0,d2-d3
K29,A09,5930.0,d1-d2
A09,J69,155.0,d2-d3
K29,K64,1961.0,d1-d2
K29,D61,758.0,d1-d2
K29,D73,521.0,d1-d2
K29,D46,650.0,d1-d2
D46,A41,80.0,d2-d3
K29,D46,650.0,d1-d2
D46,J22,95.0,d2-d3
J22,J18,21.0,d3-d4
K29,D46,650.0,d1-d2
D46,D63,48.0,d2-d3
K29,D46,650.0,d1-d2
D46,D70,40.0,d2-d3
K29,C26,435.0,d1-d2
K29,E46,650.0,d1-d2
I25,J90,16414.0,d1-d2
J90,I46,372.0,d2-d3
I25,J90,16414.0,d1-d2
J90,J69,356.0,d2-d3
I25,K92,14809.0,d1-d2
K92,J69,440.0,d2-d3
I25,K92,14809.0,d1-d2
K92,I97,48.0,d2-d3
I25,K92,14809.0,d1-d2
K92,J18,1603.0,d2-d3
J18,J69,54.0,d3-d4
I25,K92,14809.0,d1-d2
K92,A41,823.0,d2-d3
I25,K92,14809.0,d1-d2
K92,I46,365.0,d2-d3
I25,K92,14809.0,d1-d2
K92,K72,99.0,d2-d3
I25,K92,14809.0,d1-d2
K92,G93,63.0,d2-d3
I25,J18,36951.0,d1-d2
J18,J69,1061.0,d2-d3
I25,J96,7522.0,d1-d2
I25,K55,3307.0,d1-d2
K55,K91,66.0,d2-d3
I25,A08,2024.0,d1-d2
I25,J91,4042.0,d1-d2
J91,I46,169.0,d2-d3
I25,I97,2019.0,d1-d2
I25,D68,1499.0,d1-d2
I25,K02,1487.0,d1-d2
I25,I95,18014.0,d1-d2
I95,F03,1022.0,d2-d3
F03,F01,107.0,d3-d4
I25,I95,18014.0,d1-d2
I95,F03,1022.0,d2-d3
F03,G30,80.0,d3-d4
I25,I95,18014.0,d1-d2
I95,F03,1022.0,d2-d3
F03,J69,67.0,d3-d4
I25,I95,18014.0,d1-d2
I95,F03,1022.0,d2-d3
F03,F00,62.0,d3-d4
I25,I95,18014.0,d1-d2
I95,J69,463.0,d2-d3
I25,I95,18014.0,d1-d2
I95,L89,154.0,d2-d3
I25,I95,18014.0,d1-d2
I95,F01,559.0,d2-d3
F01,J69,38.0,d3-d4
I25,I95,18014.0,d1-d2
I95,J18,2333.0,d2-d3
J18,J69,86.0,d3-d4
I25,I95,18014.0,d1-d2
I95,F05,820.0,d2-d3
F05,J69,48.0,d3-d4
I25,I95,18014.0,d1-d2
I95,I62,77.0,d2-d3
I25,I95,18014.0,d1-d2
I95,F02,65.0,d2-d3
I25,I95,18014.0,d1-d2
I95,F39,47.0,d2-d3
I25,N19,12048.0,d1-d2
N19,I46,420.0,d2-d3
I25,N19,12048.0,d1-d2
N19,N18,2179.0,d2-d3
N18,A41,186.0,d3-d4
I25,N19,12048.0,d1-d2
N19,N18,2179.0,d2-d3
N18,B95,118.0,d3-d4
I25,N19,12048.0,d1-d2
N19,N18,2179.0,d2-d3
N18,N25,22.0,d3-d4
I25,N19,12048.0,d1-d2
N19,N18,2179.0,d2-d3
N18,I46,83.0,d3-d4
I25,N19,12048.0,d1-d2
N19,N18,2179.0,d2-d3
N18,A49,59.0,d3-d4
I25,N19,12048.0,d1-d2
N19,N18,2179.0,d2-d3
N18,F05,77.0,d3-d4
I25,N19,12048.0,d1-d2
N19,N18,2179.0,d2-d3
N18,K65,38.0,d3-d4
I25,N19,12048.0,d1-d2
N19,N17,1384.0,d2-d3
N17,J69,43.0,d3-d4
I25,N19,12048.0,d1-d2
N19,I12,495.0,d2-d3
I12,I46,20.0,d3-d4
I25,N19,12048.0,d1-d2
N19,I12,495.0,d2-d3
I12,A41,62.0,d3-d4
I25,N19,12048.0,d1-d2
N19,I12,495.0,d2-d3
I12,B95,39.0,d3-d4
I25,N19,12048.0,d1-d2
N19,I12,495.0,d2-d3
I12,J18,76.0,d3-d4
I25,N19,12048.0,d1-d2
N19,N03,166.0,d2-d3
N03,J18,31.0,d3-d4
I25,E87,15109.0,d1-d2
E87,J69,458.0,d2-d3
I25,E87,15109.0,d1-d2
E87,I46,449.0,d2-d3
I25,N17,25648.0,d1-d2
N17,F39,61.0,d2-d3
I25,N17,25648.0,d1-d2
N17,J69,878.0,d2-d3
I25,J22,38314.0,d1-d2
J22,I46,850.0,d2-d3
I25,J22,38314.0,d1-d2
J22,J18,5626.0,d2-d3
J18,J69,216.0,d3-d4
I25,J22,38314.0,d1-d2
J22,J96,1312.0,d2-d3
I25,J22,38314.0,d1-d2
J22,J15,383.0,d2-d3
I25,J22,38314.0,d1-d2
J22,J69,1162.0,d2-d3
I25,J22,38314.0,d1-d2
J22,F39,54.0,d2-d3
I25,J98,8947.0,d1-d2
J98,J69,162.0,d2-d3
I25,J98,8947.0,d1-d2
J98,I46,156.0,d2-d3
I25,D64,23670.0,d1-d2
D64,J18,3053.0,d2-d3
J18,J69,88.0,d3-d4
I25,D64,23670.0,d1-d2
D64,A41,1599.0,d2-d3
I25,D64,23670.0,d1-d2
D64,A49,445.0,d2-d3
I25,D64,23670.0,d1-d2
D64,J96,502.0,d2-d3
I25,D64,23670.0,d1-d2
D64,I46,526.0,d2-d3
I25,D64,23670.0,d1-d2
D64,J69,503.0,d2-d3
I25,D64,23670.0,d1-d2
D64,D63,439.0,d2-d3
I25,D64,23670.0,d1-d2
D64,D59,70.0,d2-d3
I25,D64,23670.0,d1-d2
D64,G93,86.0,d2-d3
I25,D64,23670.0,d1-d2
D64,D53,111.0,d2-d3
I25,D64,23670.0,d1-d2
D64,C26,57.0,d2-d3
I25,D64,23670.0,d1-d2
D64,J17,57.0,d2-d3
I25,D64,23670.0,d1-d2
D64,K72,93.0,d2-d3
I25,I22,6873.0,d1-d2
I25,E16,3509.0,d1-d2
E16,I46,95.0,d2-d3
I25,E16,3509.0,d1-d2
E16,A41,318.0,d2-d3
I25,E16,3509.0,d1-d2
E16,J69,138.0,d2-d3
I25,I33,658.0,d1-d2
I20,J22,20841.0,d1-d2
J22,J18,3013.0,d2-d3
J18,J69,117.0,d3-d4
I20,J22,20841.0,d1-d2
J22,J15,221.0,d2-d3
I20,J22,20841.0,d1-d2
J22,I46,409.0,d2-d3
I20,J22,20841.0,d1-d2
J22,J96,674.0,d2-d3
I20,J22,20841.0,d1-d2
J22,J69,545.0,d2-d3
I20,J22,20841.0,d1-d2
J22,F39,38.0,d2-d3
I20,N19,6081.0,d1-d2
N19,N18,1187.0,d2-d3
N18,A41,122.0,d3-d4
I20,N19,6081.0,d1-d2
N19,N18,1187.0,d2-d3
N18,B95,77.0,d3-d4
I20,N19,6081.0,d1-d2
N19,N18,1187.0,d2-d3
N18,A49,32.0,d3-d4
I20,N19,6081.0,d1-d2
N19,N18,1187.0,d2-d3
N18,F05,45.0,d3-d4
I20,N19,6081.0,d1-d2
N19,N18,1187.0,d2-d3
N18,I46,41.0,d3-d4
I20,N19,6081.0,d1-d2
N19,N17,772.0,d2-d3
N17,J69,22.0,d3-d4
I20,N19,6081.0,d1-d2
N19,I12,315.0,d2-d3
I12,A41,36.0,d3-d4
I20,N19,6081.0,d1-d2
N19,I12,315.0,d2-d3
I12,J18,44.0,d3-d4
I20,N19,6081.0,d1-d2
N19,I12,315.0,d2-d3
I12,B95,27.0,d3-d4
I20,N19,6081.0,d1-d2
N19,I46,221.0,d2-d3
I20,I63,6241.0,d1-d2
I63,I67,1169.0,d2-d3
I67,A41,65.0,d3-d4
I20,I63,6241.0,d1-d2
I63,I67,1169.0,d2-d3
I67,J69,68.0,d3-d4
I20,I63,6241.0,d1-d2
I63,I67,1169.0,d2-d3
I67,I46,26.0,d3-d4
I20,I63,6241.0,d1-d2
I63,G40,203.0,d2-d3
G40,J18,33.0,d3-d4
I20,I63,6241.0,d1-d2
I63,G40,203.0,d2-d3
G40,J69,20.0,d3-d4
I20,I63,6241.0,d1-d2
I63,J18,740.0,d2-d3
J18,J69,39.0,d3-d4
I20,I63,6241.0,d1-d2
I63,F03,315.0,d2-d3
F03,F01,29.0,d3-d4
I20,I63,6241.0,d1-d2
I63,I69,656.0,d2-d3
I69,N17,48.0,d3-d4
I20,I63,6241.0,d1-d2
I63,I69,656.0,d2-d3
I69,J18,97.0,d3-d4
I20,I63,6241.0,d1-d2
I63,I69,656.0,d2-d3
I69,J69,32.0,d3-d4
I20,I63,6241.0,d1-d2
I63,I69,656.0,d2-d3
I69,A41,35.0,d3-d4
I20,I63,6241.0,d1-d2
I63,I69,656.0,d2-d3
I69,E86,34.0,d3-d4
I20,I63,6241.0,d1-d2
I63,A04,144.0,d2-d3
I20,I63,6241.0,d1-d2
I63,G41,23.0,d2-d3
I20,J90,8413.0,d1-d2
J90,I46,143.0,d2-d3
I20,J90,8413.0,d1-d2
J90,J69,154.0,d2-d3
I20,I67,9024.0,d1-d2
I67,J69,347.0,d2-d3
I20,I67,9024.0,d1-d2
I67,A41,492.0,d2-d3
I20,I67,9024.0,d1-d2
I67,I46,151.0,d2-d3
I20,M79,8169.0,d1-d2
M79,J22,815.0,d2-d3
J22,J96,26.0,d3-d4
I20,M79,8169.0,d1-d2
M79,J22,815.0,d2-d3
J22,J18,117.0,d3-d4
I20,M79,8169.0,d1-d2
M79,J22,815.0,d2-d3
J22,J69,25.0,d3-d4
I20,M79,8169.0,d1-d2
M79,A49,106.0,d2-d3
I20,M79,8169.0,d1-d2
M79,L97,213.0,d2-d3
L97,A41,24.0,d3-d4
I20,M79,8169.0,d1-d2
M79,L97,213.0,d2-d3
L97,J18,36.0,d3-d4
I20,M79,8169.0,d1-d2
M79,F06,135.0,d2-d3
F06,F03,25.0,d3-d4
I20,M79,8169.0,d1-d2
M79,M86,45.0,d2-d3
I20,M79,8169.0,d1-d2
M79,L89,54.0,d2-d3
I20,J98,5323.0,d1-d2
J98,I46,78.0,d2-d3
I20,J98,5323.0,d1-d2
J98,J69,73.0,d2-d3
I20,I46,3557.0,d1-d2
I20,K55,1829.0,d1-d2
K55,K91,33.0,d2-d3
I20,A08,1153.0,d1-d2
I20,I97,1329.0,d1-d2
I20,K02,984.0,d1-d2
I20,N18,13293.0,d1-d2
N18,A41,1083.0,d2-d3
I20,N18,13293.0,d1-d2
N18,F05,737.0,d2-d3
F05,J69,38.0,d3-d4
I20,N18,13293.0,d1-d2
N18,A49,213.0,d2-d3
I20,N18,13293.0,d1-d2
N18,I46,333.0,d2-d3
I20,N18,13293.0,d1-d2
N18,N25,52.0,d2-d3
I20,N18,13293.0,d1-d2
N18,L89,100.0,d2-d3
I20,N18,13293.0,d1-d2
N18,J10,97.0,d2-d3
I20,D64,14337.0,d1-d2
D64,J18,1728.0,d2-d3
J18,J69,48.0,d3-d4
I20,D64,14337.0,d1-d2
D64,A41,918.0,d2-d3
I20,D64,14337.0,d1-d2
D64,A49,261.0,d2-d3
I20,D64,14337.0,d1-d2
D64,I46,316.0,d2-d3
I20,D64,14337.0,d1-d2
D64,D63,289.0,d2-d3
I20,D64,14337.0,d1-d2
D64,G93,48.0,d2-d3
I20,D64,14337.0,d1-d2
D64,J96,269.0,d2-d3
I20,D64,14337.0,d1-d2
D64,D59,37.0,d2-d3
I20,D64,14337.0,d1-d2
D64,J69,231.0,d2-d3
I20,D64,14337.0,d1-d2
D64,D53,70.0,d2-d3
I20,D64,14337.0,d1-d2
D64,C26,32.0,d2-d3
I20,D64,14337.0,d1-d2
